Consulta,factor 01,factor 03,factor 1,factor 3
1,0.041000000000000002,0.11,0.13700000000000001,0.085999999999999993
2,0.019,0.034000000000000002,0.29699999999999999,0.22700000000000001
3,0.060999999999999999,0.057000000000000002,0.26000000000000001,0.753
4,0.029000000000000001,0.085000000000000006,0.252,0.20999999999999999
5,0.0070000000000000001,0.042000000000000003,0.11799999999999999,0.012999999999999999
6,0.023,0.0060000000000000001,0.0080000000000000002,0.33800000000000002
7,0.063,0.156,0.48999999999999999,0.42599999999999999
8,0.35999999999999999,0.056000000000000001,0.17000000000000001,0.42399999999999999
9,0.021999999999999999,0.033000000000000002,0.28299999999999997,0.71299999999999997
10,0.26900000000000002,0.114,0.25800000000000001,0.22500000000000001
11,0.027,0.053999999999999999,0.19900000000000001,0.34100000000000003
12,0.029000000000000001,0.062,0.13200000000000001,0.377
13,0.036999999999999998,0.067000000000000004,0.23000000000000001,0.52900000000000003
14,CORE DUMPED,CORE DUMPED,CORE DUMPED,CORE DUMPED
15,Memory limit,Memory limit,Memory limit,Memory limit
16,Memory limit,Memory limit,Memory limit,Memory limit
17,Memory limit,Memory limit,Memory limit,Memory limit
18,Memory limit,Memory limit,Memory limit,Memory limit
19,TIMEOUT,0.121,0.39700000000000002,1.2589999999999999
20,0.060999999999999999,0.094,0.33800000000000002,1.087
21,TIMEOUT,0.094,4.3559999999999999,24.548999999999999
22,TIMEOUT,1.018,TIMEOUT,TIMEOUT
23,TIMEOUT,Memory limit,Memory limit,Memory limit
24,TIMEOUT,TIMEOUT,Memory limit,Memory limit
25,0.050999999999999997,0.014999999999999999,0.0080000000000000002,0.012
26,0.028000000000000001,0.0080000000000000002,0.0060000000000000001,0.0080000000000000002
27,0.02,0.073999999999999996,0.20000000000000001,0.373
28,0.021999999999999999,0.012,0.127,0.35999999999999999
29,0.031,0.0080000000000000002,0.010999999999999999,0.021999999999999999
30,0.025000000000000001,0.0060000000000000001,0.0070000000000000001,0.33900000000000002
31,CORE DUMPED,CORE DUMPED,0.040000000000000001,CORE DUMPED
32,0.010999999999999999,Memory limit,CORE DUMPED,0.193
33,Memory limit,0.023,Memory limit,Memory limit
34,CORE DUMPED,0.072999999999999995,0.32400000000000001,0.69499999999999995
35,0.056000000000000001,CORE DUMPED,CORE DUMPED,CORE DUMPED
36,Memory limit,Memory limit,Memory limit,Memory limit
37,Memory limit,Memory limit,Memory limit,Memory limit
38,Memory limit,Memory limit,Memory limit,Memory limit
39,Memory limit,Memory limit,Memory limit,Memory limit
40,TIMEOUT,0.112,0.439,1.3009999999999999
41,0.064000000000000001,0.090999999999999998,0.32300000000000001,1.1379999999999999
42,TIMEOUT,0.092999999999999999,5.218,1.206
43,TIMEOUT,1.1639999999999999,TIMEOUT,29.385999999999999
44,TIMEOUT,TIMEOUT,Memory limit,TIMEOUT
45,TIMEOUT,TIMEOUT,Memory limit,Memory limit
46,CORE DUMPED,CORE DUMPED,0.049000000000000002,0.14599999999999999
47,0.027,Memory limit,CORE DUMPED,CORE DUMPED
48,Memory limit,0.035000000000000003,Memory limit,Memory limit
49,0.064000000000000001,0.113,0.42999999999999999,1.276
50,0.048000000000000001,0.105,0.35599999999999998,1.105
51,TIMEOUT,0.153,TIMEOUT,TIMEOUT
52,0.086999999999999994,TIMEOUT,0.67800000000000005,TIMEOUT
53,TIMEOUT,0.19,0.58799999999999997,2.6960000000000002
54,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
55,0.036999999999999998,0.042000000000000003,0.055,0.128
56,0.025999999999999999,0.12,0.14099999999999999,0.39900000000000002
57,0.041000000000000002,0.086999999999999994,0.113,0.29999999999999999
58,0.036999999999999998,0.096000000000000002,0.10199999999999999,0.95599999999999996
59,0.02,0.058999999999999997,0.13300000000000001,0.18099999999999999
60,0.010999999999999999,0.021999999999999999,0.037999999999999999,0.105
61,0.002,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001
62,0.002,0.0030000000000000001,0.0030000000000000001,0.0030000000000000001
63,0.0040000000000000001,0.002,0.0030000000000000001,0.002
64,0.0030000000000000001,0.0040000000000000001,0.002,0.0040000000000000001
65,0.0050000000000000001,0.0050000000000000001,0.0060000000000000001,0.0060000000000000001
66,0.0040000000000000001,0.0050000000000000001,0.0040000000000000001,0.0050000000000000001
67,0.0030000000000000001,0.0030000000000000001,0.002,0.0030000000000000001
68,0.002,0.002,0.0030000000000000001,0.002
69,0.002,0.002,0.0030000000000000001,0.002
70,0.0030000000000000001,0.002,0.002,0.0030000000000000001
71,0.0050000000000000001,0.0050000000000000001,0.0030000000000000001,0.0050000000000000001
72,0.0040000000000000001,0.0030000000000000001,0.0060000000000000001,0.0060000000000000001
73,0.0080000000000000002,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001
74,0.0060000000000000001,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001
75,0.0060000000000000001,0.0040000000000000001,0.0030000000000000001,0.0040000000000000001
76,0.0050000000000000001,0.0040000000000000001,0.0030000000000000001,0.0050000000000000001
77,0.0040000000000000001,0.0040000000000000001,0.0050000000000000001,0.0060000000000000001
78,0.0050000000000000001,0.0050000000000000001,0.0040000000000000001,0.0040000000000000001
79,0.0089999999999999993,0.010999999999999999,0.037999999999999999,0.127
80,0.0089999999999999993,0.012,0.027,0.121
81,0.0070000000000000001,CORE DUMPED,0.028000000000000001,0.108
82,CORE DUMPED,CORE DUMPED,CORE DUMPED,CORE DUMPED
83,0.0080000000000000002,0.010999999999999999,0.027,0.096000000000000002
84,0.010999999999999999,0.010999999999999999,0.034000000000000002,0.109
85,0.0030000000000000001,0.0030000000000000001,0.0030000000000000001,0.0030000000000000001
86,0.0030000000000000001,0.002,0.0030000000000000001,0.0030000000000000001
87,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001,0.0040000000000000001
88,0.0040000000000000001,0.0030000000000000001,0.0030000000000000001,0.0030000000000000001
89,0.0050000000000000001,0.0050000000000000001,0.0040000000000000001,0.0060000000000000001
90,0.0040000000000000001,0.0050000000000000001,0.0040000000000000001,0.0060000000000000001
91,0.012,0.019,0.039,0.098000000000000004
92,0.012999999999999999,0.017000000000000001,0.040000000000000001,0.13700000000000001
93,0.01,0.017000000000000001,0.032000000000000001,0.108
94,0.0089999999999999993,0.014999999999999999,0.033000000000000002,0.154
95,4.306,0.014,Memory limit,Memory limit
96,Memory limit,0.014999999999999999,Memory limit,Memory limit
97,0.016,0.012999999999999999,0.056000000000000001,0.23400000000000001
98,0.014,0.017000000000000001,0.039,0.23100000000000001
99,0.014,0.012999999999999999,0.037999999999999999,0.187
100,0.01,0.012999999999999999,0.035999999999999997,0.161
101,0.014,0.012,0.045999999999999999,0.14799999999999999
102,0.012999999999999999,0.017999999999999999,0.035000000000000003,0.13300000000000001
103,0.014,0.017999999999999999,0.045999999999999999,0.156
104,0.014,0.039,0.043999999999999997,0.13100000000000001
105,0.012999999999999999,0.014999999999999999,0.037999999999999999,0.14000000000000001
106,0.012999999999999999,0.016,0.041000000000000002,0.124
107,3.4809999999999999,Memory limit,Memory limit,Memory limit
108,Memory limit,Memory limit,Memory limit,Memory limit
